 7 0.45 0.525 0.35 0.4 0.65 0.475 0.75 0 0.55 0.175 0.425 0.7 0.425
 8 0.325 0.3 0.2 0.15 0.8 0.525 0.275 0.55 0 0.4 0.625 0.225 0.225
 9 0.4 0.35 0.225 0.3 0.55 0.5 0.65 0.175 0.4 0 0.5 0.6 0.275
 10 0.3 0.775 0.475 0.5 1.05 0.15 0.675 0.425 0.625 0.5 0 0.65 0.65
 11 0.35 0.525 0.375 0.3 1.05 0.525 0.05 0.7 0.225 0.6 0.65 0 0.45
 12 0.425 0.125 0.2 0.225 0.6 0.6 0.5 0.425 0.225 0.275 0.65 0.45 0
 [*,*,3]: 0 1 2 3 4 5 6 7 8 9 10 11 12 :=
 0 0 2.2 1 0.9 3.8 0.8 1.5 1.8 1.3 1.6 1.2 1.4 1.7
 1 2.2 0 1.3 1.3 2.2 2.9 2.3 2.1 1.2 1.4 3.1 2.1 0.5
 2 1 1.3 0 0.3 2.9 1.6 1.7 1.4 0.8 0.9 1.9 1.5 0.8
 3 0.9 1.3 0.3 0 3.1 1.7 1.4 1.6 0.6 1.2 2 1.2 0.9
 4 3.8 2.2 2.9 3.1 0 4.3 4.4 2.6 3.2 2.2 4.2 4.2 2.4
 5 0.8 2.9 1.6 1.7 4.3 0 2.2 1.9 2.1 2 0.6 2.1 2.4
 6 1.5 2.3 1.7 1.4 4.4 2.2 0 3 1.1 2.6 2.7 0.2 2
 7 1.8 2.1 1.4 1.6 2.6 1.9 3 0 2.2 0.7 1.7 2.8 1.7
 8 1.3 1.2 0.8 0.6 3.2 2.1 1.1 2.2 0 1.6 2.5 0.9 0.9
 9 1.6 1.4 0.9 1.2 2.2 2 2.6 0.7 1.6 0 2 2.4 1.1
 10 1.2 3.1 1.9 2 4.2 0.6 2.7 1.7 2.5 2 0 2.6 2.6
 11 1.4 2.1 1.5 1.2 4.2 2.1 0.2 2.8 0.9 2.4 2.6 0 1.8
 12 1.7 0.5 0.8 0.9 2.4 2.4 2 1.7 0.9 1.1 2.6 1.8 0
 [*,*,4]: 0 1 2 3 4 5 6 7 8 9 10 11 12 :=
 0 0 0.55 0.25 0.225 0.95 0.2 0.375 0.45 0.325 0.4 0.3 0.35 0.425
 1 0.55 0 0.325 0.325 0.55 0.725 0.575 0.525 0.3 0.35 0.775 0.525 0.125
 2 0.25 0.325 0 0.075 0.725 0.4 0.425 0.35 0.2 0.225 0.475 0.375 0.2
 3 0.225 0.325 0.075 0 0.775 0.425 0.35 0.4 0.15 0.3 0.5 0.3 0.225
 4 0.95 0.55 0.725 0.775 0 1.075 1.1 0.65 0.8 0.55 1.05 1.05 0.6
 5 0.2 0.725 0.4 0.425 1.075 0 0.55 0.475 0.525 0.5 0.15 0.525 0.6
 6 0.375 0.575 0.425 0.35 1.1 0.55 0 0.75 0.275 0.65 0.675 0.05 0.5
 7 0.45 0.525 0.35 0.4 0.65 0.475 0.75 0 0.55 0.175 0.425 0.7 0.425
 8 0.325 0.3 0.2 0.15 0.8 0.525 0.275 0.55 0 0.4 0.625 0.225 0.225
 9 0.4 0.35 0.225 0.3 0.55 0.5 0.65 0.175 0.4 0 0.5 0.6 0.275
 10 0.3 0.775 0.475 0.5 1.05 0.15 0.675 0.425 0.625 0.5 0 0.65 0.65
 11 0.35 0.525 0.375 0.3 1.05 0.525 0.05 0.7 0.225 0.6 0.65 0 0.45
 12 0.425 0.125 0.2 0.225 0.6 0.6 0.5 0.425 0.225 0.275 0.65 0.45 0
 [*,*,5]: 0 1 2 3 4 5 6 7 8 9 10 11 12 :=
 0 0 0.7333 0.3333 0.3 1.2667 0.2667 0.5 0.6 0.4333 0.5333 0.4 0.4667 0.5667
 1 0.7333 0 0.4333 0.4333 0.7333 0.9667 0.7667 0.7 0.4 0.4667 1.0333 0.7 0.1667
 2 0.3333 0.4333 0 0.1 0.9667 0.5333 0.5667 0.4667 0.2667 0.3 0.6333 0.5 0.2667
 3 0.3 0.4333 0.1 0 1.0333 0.5667 0.4667 0.5333 0.2 0.4 0.6667 0.4 0.3
 4 1.2667 0.7333 0.9667 1.0333 0 1.4333 1.4667 0.8667 1.0667 0.7333 1.4 1.4 0.8
 5 0.2667 0.9667 0.5333 0.5667 1.4333 0 0.7333 0.6333 0.7 0.6667 0.2 0.7 0.8
 6 0.5 0.7667 0.5667 0.4667 1.4667 0.7333 0 1 0.3667 0.8667 0.9 0.0667 0.6667
 7 0.6 0.7 0.4667 0.5333 0.8667 0.6333 1 0 0.7333 0.2333 0.5667 0.9333 0.5667
 8 0.4333 0.4 0.2667 0.2 1.0667 0.7 0.3667 0.7333 0 0.5333 0.8333 0.3 0.3
 9 0.5333 0.4667 0.3 0.4 0.7333 0.6667 0.8667 0.2333 0.5333 0 0.6667 0.8 0.3667
 10 0.4 1.0333 0.6333 0.6667 1.4 0.2 0.9 0.5667 0.8333 0.6667 0 0.8667 0.8667
 11 0.4667 0.7 0.5 0.4 1.4 0.7 0.0667 0.9333 0.3 0.8 0.8667 0 0.6
 12 0.5667 0.1667 0.2667 0.3 0.8 0.8 0.6667 0.5667 0.3 0.3667 0.8667 0.6 0
 [*,*,6]: 0 1 2 3 4 5 6 7 8 9 10 11 12 :=
 0 0 0.88 0.4 0.36 1.52 0.32 0.6 0.72 0.52 0.64 0.48 0.56 0.68
 1 0.88 0 0.52 0.52 0.88 1.16 0.92 0.84 0.48 0.56 1.24 0.84 0.2
 2 0.4 0.52 0 0.12 1.16 0.64 0.68 0.56 0.32 0.36 0.76 0.6 0.32
 3 0.36 0.52 0.12 0 1.24 0.68 0.56 0.64 0.24 0.48 0.8 0.48 0.36
 4 1.52 0.88 1.16 1.24 0 1.72 1.76 1.04 1.28 0.88 1.68 1.68 0.96
 5 0.32 1.16 0.64 0.68 1.72 0 0.88 0.76 0.84 0.8 0.24 0.84 0.96
 6 0.6 0.92 0.68 0.56 1.76 0.88 0 1.2 0.44 1.04 1.08 0.08 0.8
 7 0.72 0.84 0.56 0.64 1.04 0.76 1.2 0 0.88 0.28 0.68 1.12 0.68
 8 0.52 0.48 0.32 0.24 1.28 0.84 0.44 0.88 0 0.64 1 0.36 0.36
 9 0.64 0.56 0.36 0.48 0.88 0.8 1.04 0.28 0.64 0 0.8 0.96 0.44
 10 0.48 1.24 0.76 0.8 1.68 0.24 1.08 0.68 1 0.8 0 1.04 1.04
 11 0.56 0.84 0.6 0.48 1.68 0.84 0.08 1.12 0.36 0.96 1.04 0 0.72
 12 0.68 0.2 0.32 0.36 0.96 0.96 0.8 0.68 0.36 0.44 1.04 0.72 0
 ;

param nmuelles := 2;
param durH := 0.166;
param Lc := 3;
param tcarga := 0.5;
param M := 9999;
param pw := 10000;
