 [*,*,2]: 0 1 2 3 4 5 6 7 8 9 10 :=
 0 0 0.8 0.575 0.6 0.275 0.75 0.8 0.225 0.85 0.3 0.6
 1 0.8 0 0.75 0.675 1.075 0.425 1.125 0.95 0.825 1.05 0.975
 2 0.575 0.75 0 0.1 0.75 0.4 0.375 0.775 0.275 0.625 0.225
 3 0.6 0.675 0.1 0 0.775 0.3 0.475 0.8 0.275 0.675 0.325
 4 0.275 1.075 0.75 0.775 0 1 0.825 0.2 1.025 0.15 0.65
 5 0.75 0.425 0.4 0.3 1 0 0.775 0.975 0.4 0.925 0.65
 6 0.8 1.125 0.375 0.475 0.825 0.775 0 0.95 0.45 0.675 0.2
 7 0.225 0.95 0.775 0.8 0.2 0.975 0.95 0 1.075 0.325 0.75
 8 0.85 0.825 0.275 0.275 1.025 0.4 0.45 1.075 0 0.9 0.425
 9 0.3 1.05 0.625 0.675 0.15 0.925 0.675 0.325 0.9 0 0.5
 10 0.6 0.975 0.225 0.325 0.65 0.65 0.2 0.75 0.425 0.5 0
 [*,*,3]: 0 1 2 3 4 5 6 7 8 9 10 :=
 0 0 0.64 0.46 0.48 0.22 0.6 0.64 0.18 0.68 0.24 0.48
 1 0.64 0 0.6 0.54 0.86 0.34 0.9 0.76 0.66 0.84 0.78
 2 0.46 0.6 0 0.08 0.6 0.32 0.3 0.62 0.22 0.5 0.18
 3 0.48 0.54 0.08 0 0.62 0.24 0.38 0.64 0.22 0.54 0.26
 4 0.22 0.86 0.6 0.62 0 0.8 0.66 0.16 0.82 0.12 0.52
 5 0.6 0.34 0.32 0.24 0.8 0 0.62 0.78 0.32 0.74 0.52
 6 0.64 0.9 0.3 0.38 0.66 0.62 0 0.76 0.36 0.54 0.16
 7 0.18 0.76 0.62 0.64 0.16 0.78 0.76 0 0.86 0.26 0.6
 8 0.68 0.66 0.22 0.22 0.82 0.32 0.36 0.86 0 0.72 0.34
 9 0.24 0.84 0.5 0.54 0.12 0.74 0.54 0.26 0.72 0 0.4
 10 0.48 0.78 0.18 0.26 0.52 0.52 0.16 0.6 0.34 0.4 0
 [*,*,4]: 0 1 2 3 4 5 6 7 8 9 10 :=
 0 0 0.8 0.575 0.6 0.275 0.75 0.8 0.225 0.85 0.3 0.6
 1 0.8 0 0.75 0.675 1.075 0.425 1.125 0.95 0.825 1.05 0.975
 2 0.575 0.75 0 0.1 0.75 0.4 0.375 0.775 0.275 0.625 0.225
 3 0.6 0.675 0.1 0 0.775 0.3 0.475 0.8 0.275 0.675 0.325
 4 0.275 1.075 0.75 0.775 0 1 0.825 0.2 1.025 0.15 0.65
 5 0.75 0.425 0.4 0.3 1 0 0.775 0.975 0.4 0.925 0.65
 6 0.8 1.125 0.375 0.475 0.825 0.775 0 0.95 0.45 0.675 0.2
 7 0.225 0.95 0.775 0.8 0.2 0.975 0.95 0 1.075 0.325 0.75
 8 0.85 0.825 0.275 0.275 1.025 0.4 0.45 1.075 0 0.9 0.425
 9 0.3 1.05 0.625 0.675 0.15 0.925 0.675 0.325 0.9 0 0.5
 10 0.6 0.975 0.225 0.325 0.65 0.65 0.2 0.75 0.425 0.5 0
 [*,*,5]: 0 1 2 3 4 5 6 7 8 9 10 :=
 0 0 1.0667 0.7667 0.8 0.3667 1 1.0667 0.3 1.1333 0.4 0.8
 1 1.0667 0 1 0.9 1.4333 0.5667 1.5 1.2667 1.1 1.4 1.3
 2 0.7667 1 0 0.1333 1 0.5333 0.5 1.0333 0.3667 0.8333 0.3
 3 0.8 0.9 0.1333 0 1.0333 0.4 0.6333 1.0667 0.3667 0.9 0.4333
 4 0.3667 1.4333 1 1.0333 0 1.3333 1.1 0.2667 1.3667 0.2 0.8667
 5 1 0.5667 0.5333 0.4 1.3333 0 1.0333 1.3 0.5333 1.2333 0.8667
 6 1.0667 1.5 0.5 0.6333 1.1 1.0333 0 1.2667 0.6 0.9 0.2667
 7 0.3 1.2667 1.0333 1.0667 0.2667 1.3 1.2667 0 1.4333 0.4333 1
 8 1.1333 1.1 0.3667 0.3667 1.3667 0.5333 0.6 1.4333 0 1.2 0.5667
 9 0.4 1.4 0.8333 0.9 0.2 1.2333 0.9 0.4333 1.2 0 0.6667
 10 0.8 1.3 0.3 0.4333 0.8667 0.8667 0.2667 1 0.5667 0.6667 0
 [*,*,6]: 0 1 2 3 4 5 6 7 8 9 10 :=
 0 0 1.6 1.15 1.2 0.55 1.5 1.6 0.45 1.7 0.6 1.2
 1 1.6 0 1.5 1.35 2.15 0.85 2.25 1.9 1.65 2.1 1.95
 2 1.15 1.5 0 0.2 1.5 0.8 0.75 1.55 0.55 1.25 0.45
 3 1.2 1.35 0.2 0 1.55 0.6 0.95 1.6 0.55 1.35 0.65
 4 0.55 2.15 1.5 1.55 0 2 1.65 0.4 2.05 0.3 1.3
 5 1.5 0.85 0.8 0.6 2 0 1.55 1.95 0.8 1.85 1.3
 6 1.6 2.25 0.75 0.95 1.65 1.55 0 1.9 0.9 1.35 0.4
 7 0.45 1.9 1.55 1.6 0.4 1.95 1.9 0 2.15 0.65 1.5
 8 1.7 1.65 0.55 0.55 2.05 0.8 0.9 2.15 0 1.8 0.85
 9 0.6 2.1 1.25 1.35 0.3 1.85 1.35 0.65 1.8 0 1
 10 1.2 1.95 0.45 0.65 1.3 1.3 0.4 1.5 0.85 1 0
 ;

param nmuelles := 2;
param durH := 0.166;
param Lc := 3;
param tcarga := 0.5;
param M := 9999;
param pw := 10000;
